Region,Festival,Tradition,Song Name,Author,URL
West India,Diwali,Devotional,Om Bhajan,M.S. Khan,https://in.video.search.yahoo.com/search/video;_ylt=Awr1VSlW_JlnrwIA3we7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Om+Bhajan+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.Zk2vwVsTQ7EEpM0hX0EHVwHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DahyW7HFs7rc&tit=Om+Namah+Shivay+Dhun+108+Times+By+Anuradha+Paudwal&pos=01&vid=447b8004f3caad22932edc9b296aa18b&sigr=8hXmUFd8e44r&sigt=MKZuhBuMDDhx&sigi=KigsajobdM5o
North India,Diwali,Semi-Classical,Raga Katha,Pandit Sharma,https://in.video.search.yahoo.com/search/video;_ylt=AwrPqmSl_JlnLQIAh2m7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Raga+Katha+yt&fr=mcafee&turl=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOVP.XR8ZfmXu7qWGyuTFS2CdVAHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DaerHyL6th1k&tit=Harikambhoji+%5BRaga+Basics%5D&pos=01&vid=45e1d077877f8ce599e4e29197b6fdf0&sigr=ETu5PiFhsDIG&sigt=qEDIGJ_Xrpde&sigi=iPx41oCaxvc5
South India,Pongal,Classical,Swar Dhwani,Begum Gundecha,https://in.video.search.yahoo.com/search/video;_ylt=AwrPrM4u_ZlnHAIAX0a7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Swar+Dhwani+yt&fr=mcafee&turl=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOVP.s8UAUymisRDZPQQrA14KGgEsDh%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DCm4RTD8Qu1g&tit=Basics+Of+Hindustani+Classical+Music+%28Vocals%29+-+Dhwani%2C+Naad+and+Swar+Uttpati&pos=01&vid=d81c655bdd52d6dd2345dfe1ddda2f9b&sigr=9Mo_g3Cztle1&sigt=caloISXk_ktM&sigi=IVZa7W8aNfV6
East India,Durga Puja,Folk,Om Leela,Hari Joshi,https://r.search.yahoo.com/_ylt=Awrx_W6D_ZlnLAIAX0a7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1739354755/RO=10/RU=https%3a%2f%2fwww.youtube.com%2fomsaileelatv%2flive/RK=2/RS=.lTJ6aUD_goZwGHD3lQ1tgPQDXo-
West India,Ganesh Chaturthi,Classical,Anand Stuti,Bhimsen Khan,https://r.search.yahoo.com/_ylt=AwrKHHXa_ZlnOAIAV.67HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1739354843/RO=10/RU=https%3a%2f%2fwww.youtube.com%2f%40ITSTUTI/RK=2/RS=Z8.fWXClb6JjWZn4GPTM6gw.al0-
North India,Baisakhi,Bhajan,Swar Leela,Bhimsen Amonkar,https://in.video.search.yahoo.com/search/video;_ylt=Awrx_W4G_plnLAIAP3W7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Swar+Leela+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.kfWXTHT_YanMbpQvjR3rZwHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DxB0H9j9BOgE&tit=Shreeleela+and+Dhanveer+Quarrel+%7C+By+Two+Love+-+Preview+%7C+%23Dhanveerrah+%7C+%23SreeLeela+%7C+SUN+NXT&pos=01&vid=1380ae3bb9b0a1f32c64643e98bfeb26&sigr=HlRv5JmADOd5&sigt=iCN2duYuXavq&sigi=cKscWG9utDYK
West India,Diwali,Devotional,Krishna Katha,Pt. Gundecha,https://in.video.search.yahoo.com/search/video;_ylt=AwrKBxMb_plnKwIADwC7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Krishna+Katha+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.xKpiEk9p-qlsWx4uJWU6ygHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DrAoVnECVbMM&tit=%E0%A4%95%E0%A5%83%E0%A4%B7%E0%A5%8D%E0%A4%A3+%E0%A4%95%E0%A4%A5%E0%A4%BE+%7C+Krishan+Katha+%7C+DS+Pal+%7C+Shri+Krishan+Katha+%7C+Latest+Krishan+Katha+2021&pos=01&vid=14a2afd24b08d1d27b6391a221b8d13d&sigr=d62G4_EipJmN&sigt=C7oUgqaE0SN.&sigi=GcFIW9pGyBRj
North India,Lohri,Bhajan,Shri Malhar,Pt. Khan,https://in.video.search.yahoo.com/search/video;_ylt=AwrKGL4w_plnWQIAV.67HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Shri+Malhar+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.d922XScHShk2U9hTKHvmIAHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3Daed4zUup-H8&tit=Malhari+Saptashati+%7C+Shree+Malhari+Saptashati+%7C+%E0%A4%B8%E0%A4%82%E0%A4%AA%E0%A5%82%E0%A4%B0%E0%A5%8D%E0%A4%A3+%E0%A4%B6%E0%A5%8D%E0%A4%B0%E0%A5%80+%E0%A4%AE%E0%A4%B2%E0%A5%8D%E0%A4%B9%E0%A4%BE%E0%A4%B0%E0%A5%80+%E0%A4%B8%E0%A4%AA%E0%A5%8D%E0%A4%A4%E0%A4%B6%E0%A4%A4%E0%A5%80+%7C+Shree+Swami+Samarth&pos=01&vid=5719a802cbbe1a51f055ee0170c302dc&sigr=_LAbNqdKm843&sigt=q_e8dkQWlT60&sigi=aKHWhDyTkqlc
South India,Onam,Classical,Shiv Leela,Hari Amonkar,https://in.video.search.yahoo.com/search/video;_ylt=AwrPrM5O_plnAwIAl5C7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Shiv+Leela+yt&fr=mcafee&turl=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOVP.pnD-MqsXknP1oXZVx2hw7gHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DKUkXs8P9nk0&tit=%23Shivaleela+-+Teaser%5B4K%5D+%7C+Ashok+Jayram+%7C+Dhivakar+%7C+Manjamma+jogathi+%7C+Dachhu+divu&pos=01&vid=3a0fbd0735843b21d74d550d4aad78e7&sigr=71sLLWYeRFR0&sigt=QaZQR2XOhoAq&sigi=HNWAmocVqSNy
East India,Durga Puja,Classical,Krishna Vandana,Ravi Subbulakshmi,https://in.video.search.yahoo.com/search/video;_ylt=Awrx_W6e_pln.gEAD_q7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Krishna+Vandana+yt&fr=mcafee&turl=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOVP.ii4LoCMfFB3VMz5fD70INwEsDh%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3Dgggb9WAUXU0&tit=Krishna+Vandana+Demonstration+by+Guru+Pali+Chandra+%7C+Intermediate+Lessons+%7C+Prayer+To+Lord+Krishna&pos=01&vid=3182f722b9b5c19e086a21c27c8d2b02&sigr=thhD5oI3YhCr&sigt=WvQStFqcPcC2&sigi=qKWD9Ha2.Ke8
South India,Onam,Classical,Raga Kirtan,Begum Sharma,https://in.video.search.yahoo.com/search/video;_ylt=Awr1VSm0_pln0wIAN6C7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Raga+Kirtan+yt&fr=mcafee&turl=https%3A%2F%2Ftse3.mm.bing.net%2Fth%3Fid%3DOVP.wEhH_bZOyXMuHtyMajQVSwEsDh%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DMQyYfS1JTh0&tit=Calcutta+Style+Raga+Kirtan.+Hare+Krishna+%5BOne+Mahamantra+Long%5D+with+VIOLIN&pos=01&vid=67023fea2295c5e80326fdb58ecb490c&sigr=l1IgGYBZ0NxL&sigt=GGMZ1Y0DuXQ1&sigi=v3CxxJUNnK6P
North India,Lohri,Semi-Classical,Bhakti Vandana,Mallikarjun Mansur,https://in.video.search.yahoo.com/search/video;_ylt=AwrKErDi_plnOgIAz127HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Bhakti+Vandana+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.KrznF8KWXoCVp4h5tKQuQgHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D5iTxEKsRfvM&tit=Ganpati+Vandana+I+Superhit+Ganesh+Bhajans+I+Anuradha+Paudwal+I+Hemant+Chauhan+I+Ravindra+Sathe&pos=01&vid=1adb2fb7adc19b02c20ede3a71c2b51c&sigr=9ft_qz96JUzL&sigt=FZr2w97P0Zz9&sigi=bliBDYGtXBT2
North India,Diwali,Classical,Bhakti Malhar,Hari Mansur,https://in.video.search.yahoo.com/search/video;_ylt=AwrKErAP_5lnOgIAR8e7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Bhakti+Malhar+yt&fr=mcafee&turl=https%3A%2F%2Ftse2.mm.bing.net%2Fth%3Fid%3DOVP.8rCeCKUtO9trsStcAnhk5AEsDh%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DfzcoxzOST8E&tit=Nonstop+Khandobachi+Bhaktigeet+%7C+Malhari+Song+%E0%A4%AE%E0%A4%B2%E0%A5%8D%E0%A4%B9%E0%A4%BE%E0%A4%B0%E0%A5%80+%E0%A4%A6%E0%A5%8B%E0%A4%A8+%E0%A4%AC%E0%A4%BE%E0%A4%AF%E0%A4%95%E0%A4%BE%E0%A4%9A%E0%A4%BE+%E0%A4%B2%E0%A4%BE%E0%A4%A1%E0%A4%95%E0%A4%BE+%3A+%E0%A4%96%E0%A4%82%E0%A4%A1%E0%A5%8B%E0%A4%AC%E0%A4%BE%E0%A4%9A%E0%A5%80+%E0%A4%97%E0%A4%BE%E0%A4%A3%E0%A5%80+Khanoda+Song&pos=01&vid=9214d4c25a6f9d9a029f4fd24e512efe&sigr=qvNV4ToeCEgd&sigt=YWeKP3VTFncu&sigi=9GKHGlsqIuFS
West India,Ganesh Chaturthi,Devotional,Guru Dhwani,Begum Dey,https://r.search.yahoo.com/_ylt=AwrPrM4x_5lnAwIAL067HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1739355185/RO=10/RU=https%3a%2f%2fwww.youtube.com%2fwatch%3fv%3d8nGFWWJLHio/RK=2/RS=EcK114q1AdfInSRkT4q0NAymx9Y-
West India,Navratri,Folk,Devi Geet,Ustad Dey,https://in.video.search.yahoo.com/search/video;_ylt=AwrKErBJ_5lnCAIAX0a7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Devi+Geet+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.fxtkC52qdJMbhopcUXn-tAHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3D2XysofLmOYo&tit=%E0%A4%AE%E0%A4%BE%E0%A4%88+%E0%A4%AE%E0%A5%8B%E0%A4%B0%E0%A5%80+%E0%A4%85%E0%A4%82%E0%A4%97%E0%A4%A8%E0%A4%BE+%E0%A4%AE%E0%A5%87%E0%A4%82+%E0%A4%85%E0%A4%88%E0%A4%B2%E0%A5%80+-+Full+HD+Video+%7C+%23Pawan+Singh+New+Devi+Geet+Video+%7C+Navratri+2022+Special&pos=01&vid=a227ca24cc57dd4bbe476fe5a6edaf52&sigr=hw29Hp72L20Y&sigt=MMi0GxqWu1S1&sigi=DeZ2OyVn_ZUk
North India,Baisakhi,Bhajan,Devi Geet,Hari Kulkarni,https://in.video.search.yahoo.com/search/video;_ylt=Awr1Tel3_5lnegIAByu7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Devi+Geet+hari+kulkarni+yt&fr=mcafee&turl=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOVP.kTxj1TSRI04-TUFTr-jrdAEsDh%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DgwfE4bxxizM&tit=Kavne+Dariya+Soheli+Koyaliya+%5BFull+Song%5D+Bhojpuri+Pachara+Devi+Geet&pos=01&vid=989ed715fa03f055cd6ecd38e5272e73&sigr=vrbhCTc0M_Ug&sigt=xdX3Z65jrrVP&sigi=adNGivFn0ywI
West India,Navratri,Folk,Shiv Leela,Begum Joshi,https://in.video.search.yahoo.com/search/video;_ylt=Awr1Temh_5lnPQIAR8e7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Shiv+Leela+yt&fr=mcafee&turl=https%3A%2F%2Ftse4.mm.bing.net%2Fth%3Fid%3DOVP.pnD-MqsXknP1oXZVx2hw7gHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DKUkXs8P9nk0&tit=%23Shivaleela+-+Teaser%5B4K%5D+%7C+Ashok+Jayram+%7C+Dhivakar+%7C+Manjamma+jogathi+%7C+Dachhu+divu&pos=01&vid=3a0fbd0735843b21d74d550d4aad78e7&sigr=71sLLWYeRFR0&sigt=QaZQR2XOhoAq&sigi=HNWAmocVqSNy
East India,Durga Puja,Folk,Ganga Sangeet,Ravi Amonkar,https://in.video.search.yahoo.com/search/video;_ylt=Awr1ShXD_5ln8wEAZ5i7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Ganga+Sangeet+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.zqWKvd_AtnHLNFp9wruXAAHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DH6kqb8BKd30&tit=Gangaa+Dances+On+Her+Sangeet+In+%27Gangaa%27+%7C+%23TellyTopUp&pos=01&vid=1f5ec4701002caf29d94aa744abe863b&sigr=mEIZJ8XZDWxy&sigt=OB7KRFF67UpW&sigi=Z1xTY8pmMgNs
South India,Pongal,Devotional,Raga Tarana,Kishori Sharma,https://in.video.search.yahoo.com/search/video;_ylt=AwrPrM7b_5lnHAIAV3G7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Nj?type=E211IN885G0&p=Raga+Tarana+yt&fr=mcafee&turl=https%3A%2F%2Ftse1.mm.bing.net%2Fth%3Fid%3DOVP.Nfeu18qjQe6T40nEqemNKgHgFo%26pid%3DApi%26w%3D296%26h%3D156%26c%3D7%26p%3D0&rurl=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DtJf-7xqFZJU&tit=Tarana+Revisited%3A+Yaman+%7C+Indian+Classical+Music&pos=01&vid=cbeab8370130b29b2908deea1445fd81&sigr=hYp6tW3HVK.G&sigt=9z4Y0sOdgVo6&sigi=msZl_6dDTrS8
East India,Chhath Puja,Tribal,Krishna Aarti,Pt. Subbulakshmi,https://example.com/music/krishna-aarti-by-pt.-subbulakshmi
East India,Durga Puja,Tribal,Raga Katha,M.S. Dey,https://example.com/music/raga-katha-by-m.s.-dey
North India,Baisakhi,Semi-Classical,Devi Aarti,Shubha Joshi,https://example.com/music/devi-aarti-by-shubha-joshi
East India,Durga Puja,Folk,Om Sangeet,Pandit Shankar,https://example.com/music/om-sangeet-by-pandit-shankar
East India,Bihu,Folk,Jai Malhar,Vidushi Sharma,https://example.com/music/jai-malhar-by-vidushi-sharma
East India,Durga Puja,Tribal,Om Bhajan,Kumar Khan,https://example.com/music/om-bhajan-by-kumar-khan
South India,Pongal,Folk,Maha Dhun,Kumar Sharma,https://example.com/music/maha-dhun-by-kumar-sharma
South India,Diwali,Devotional,Swar Sangeet,Hari Mangeshkar,https://example.com/music/swar-sangeet-by-hari-mangeshkar
East India,Bihu,Classical,Taal Geet,M.S. Dey,https://example.com/music/taal-geet-by-m.s.-dey
North India,Holi,Folk,Shri Dhwani,Hari Bhosle,https://example.com/music/shri-dhwani-by-hari-bhosle
North India,Baisakhi,Classical,Swar Aarti,Vidushi Khan,https://example.com/music/swar-aarti-by-vidushi-khan
North India,Holi,Semi-Classical,Maha Sangeet,Begum Joshi,https://example.com/music/maha-sangeet-by-begum-joshi
East India,Chhath Puja,Folk,Raga Kirtan,Bhimsen Subbulakshmi,https://example.com/music/raga-kirtan-by-bhimsen-subbulakshmi
East India,Durga Puja,Classical,Devi Stuti,M.S. Shankar,https://example.com/music/devi-stuti-by-m.s.-shankar
South India,Onam,Classical,Shri Kirtan,Ustad Mangeshkar,https://example.com/music/shri-kirtan-by-ustad-mangeshkar
West India,Ganesh Chaturthi,Devotional,Jai Sangeet,M.S. Khan,https://example.com/music/jai-sangeet-by-m.s.-khan
East India,Chhath Puja,Tribal,Om Dhun,Kishori Dey,https://example.com/music/om-dhun-by-kishori-dey
North India,Holi,Folk,Shri Rasa,Mallikarjun Dey,https://example.com/music/shri-rasa-by-mallikarjun-dey
North India,Holi,Bhajan,Prema Dhwani,Kumar Sharma,https://example.com/music/prema-dhwani-by-kumar-sharma
West India,Navratri,Folk,Devi Bhajan,Begum Mansur,https://example.com/music/devi-bhajan-by-begum-mansur
East India,Durga Puja,Folk,Shiv Dhwani,Kishori Mansur,https://example.com/music/shiv-dhwani-by-kishori-mansur
West India,Diwali,Devotional,Jai Dhun,Hari Dey,https://example.com/music/jai-dhun-by-hari-dey
South India,Onam,Folk,Guru Dhwani,Begum Bhosle,https://example.com/music/guru-dhwani-by-begum-bhosle
North India,Diwali,Folk,Maha Katha,Pt. Mangeshkar,https://example.com/music/maha-katha-by-pt.-mangeshkar
West India,Diwali,Classical,Raga Bhajan,Ravi Mansur,https://example.com/music/raga-bhajan-by-ravi-mansur
West India,Diwali,Folk,Shiv Sangeet,Hari Shankar,https://example.com/music/shiv-sangeet-by-hari-shankar
West India,Ganesh Chaturthi,Folk,Shri Dhun,Ustad Joshi,https://example.com/music/shri-dhun-by-ustad-joshi
South India,Pongal,Folk,Guru Geet,Begum Gundecha,https://example.com/music/guru-geet-by-begum-gundecha
North India,Diwali,Classical,Ganga Dhun,Pandit Mangeshkar,https://example.com/music/ganga-dhun-by-pandit-mangeshkar
North India,Holi,Folk,Guru Vandana,Bhimsen Subbulakshmi,https://example.com/music/guru-vandana-by-bhimsen-subbulakshmi
East India,Durga Puja,Folk,Krishna Geet,M.S. Subbulakshmi,https://example.com/music/krishna-geet-by-m.s.-subbulakshmi
East India,Durga Puja,Tribal,Swar Stuti,Begum Joshi,https://example.com/music/swar-stuti-by-begum-joshi
East India,Bihu,Classical,Krishna Leela,Pt. Dey,https://example.com/music/krishna-leela-by-pt.-dey
West India,Ganesh Chaturthi,Folk,Maha Aarti,Pt. Shankar,https://example.com/music/maha-aarti-by-pt.-shankar
South India,Pongal,Folk,Ganga Tarana,Vidushi Bhosle,https://example.com/music/ganga-tarana-by-vidushi-bhosle
East India,Durga Puja,Tribal,Shri Aarti,Hari Khan,https://example.com/music/shri-aarti-by-hari-khan
South India,Onam,Classical,Bhakti Bhajan,Hari Mansur,https://example.com/music/bhakti-bhajan-by-hari-mansur
North India,Baisakhi,Bhajan,Shri Dhwani,Begum Mansur,https://example.com/music/shri-dhwani-by-begum-mansur
South India,Diwali,Devotional,Shiv Vandana,Hari Mansur,https://example.com/music/shiv-vandana-by-hari-mansur
East India,Chhath Puja,Folk,Ganga Geet,Ravi Subbulakshmi,https://example.com/music/ganga-geet-by-ravi-subbulakshmi
South India,Onam,Folk,Taal Dhwani,M.S. Mangeshkar,https://example.com/music/taal-dhwani-by-m.s.-mangeshkar
West India,Ganesh Chaturthi,Devotional,Bhakti Katha,Pt. Gundecha,https://example.com/music/bhakti-katha-by-pt.-gundecha
West India,Navratri,Classical,Shri Aarti,Pandit Kulkarni,https://example.com/music/shri-aarti-by-pandit-kulkarni
North India,Baisakhi,Folk,Shri Sangeet,M.S. Sharma,https://example.com/music/shri-sangeet-by-m.s.-sharma
South India,Pongal,Devotional,Anand Geet,M.S. Mansur,https://example.com/music/anand-geet-by-m.s.-mansur
South India,Pongal,Folk,Ganga Sangeet,M.S. Sharma,https://example.com/music/ganga-sangeet-by-m.s.-sharma
East India,Chhath Puja,Folk,Prema Dhun,Pt. Shankar,https://example.com/music/prema-dhun-by-pt.-shankar
West India,Diwali,Devotional,Ram Dhwani,Bhimsen Joshi,https://example.com/music/ram-dhwani-by-bhimsen-joshi
East India,Durga Puja,Classical,Krishna Aarti,M.S. Joshi,https://example.com/music/krishna-aarti-by-m.s.-joshi
East India,Bihu,Classical,Shri Rasa,Ustad Mangeshkar,https://example.com/music/shri-rasa-by-ustad-mangeshkar
North India,Diwali,Folk,Ram Bhajan,Shubha Dey,https://example.com/music/ram-bhajan-by-shubha-dey
North India,Holi,Semi-Classical,Shiv Katha,Pandit Gundecha,https://example.com/music/shiv-katha-by-pandit-gundecha
West India,Navratri,Folk,Anand Malhar,Shubha Mangeshkar,https://example.com/music/anand-malhar-by-shubha-mangeshkar
South India,Pongal,Devotional,Anand Sangeet,Kumar Sharma,https://example.com/music/anand-sangeet-by-kumar-sharma
East India,Durga Puja,Tribal,Jai Dhwani,Begum Joshi,https://example.com/music/jai-dhwani-by-begum-joshi
South India,Onam,Folk,Bhakti Stuti,Vidushi Khan,https://example.com/music/bhakti-stuti-by-vidushi-khan
East India,Bihu,Tribal,Shiv Dhwani,Pt. Kulkarni,https://example.com/music/shiv-dhwani-by-pt.-kulkarni
West India,Ganesh Chaturthi,Classical,Anand Tarana,Begum Mansur,https://example.com/music/anand-tarana-by-begum-mansur
South India,Pongal,Folk,Om Katha,Kumar Amonkar,https://example.com/music/om-katha-by-kumar-amonkar
South India,Onam,Classical,Om Malhar,Vidushi Dey,https://example.com/music/om-malhar-by-vidushi-dey
East India,Durga Puja,Classical,Guru Aarti,Pt. Mangeshkar,https://example.com/music/guru-aarti-by-pt.-mangeshkar
West India,Ganesh Chaturthi,Classical,Shri Dhun,M.S. Gundecha,https://example.com/music/shri-dhun-by-m.s.-gundecha
West India,Ganesh Chaturthi,Classical,Swar Malhar,M.S. Subbulakshmi,https://example.com/music/swar-malhar-by-m.s.-subbulakshmi
West India,Ganesh Chaturthi,Classical,Om Tarana,Kishori Mangeshkar,https://example.com/music/om-tarana-by-kishori-mangeshkar
South India,Onam,Folk,Bhakti Aarti,Pandit Dey,https://example.com/music/bhakti-aarti-by-pandit-dey
East India,Chhath Puja,Classical,Shri Malhar,Shubha Dey,https://example.com/music/shri-malhar-by-shubha-dey
South India,Diwali,Devotional,Bhakti Aarti,Kishori Dey,https://example.com/music/bhakti-aarti-by-kishori-dey
South India,Pongal,Devotional,Maha Bhajan,Ustad Sharma,https://example.com/music/maha-bhajan-by-ustad-sharma
West India,Navratri,Classical,Shri Rasa,Kishori Bhosle,https://example.com/music/shri-rasa-by-kishori-bhosle
South India,Diwali,Folk,Krishna Sangeet,Kishori Subbulakshmi,https://example.com/music/krishna-sangeet-by-kishori-subbulakshmi
North India,Lohri,Classical,Anand Aarti,Pt. Mangeshkar,https://example.com/music/anand-aarti-by-pt.-mangeshkar
North India,Lohri,Semi-Classical,Om Aarti,Pandit Bhosle,https://example.com/music/om-aarti-by-pandit-bhosle
West India,Diwali,Devotional,Ganga Tarana,M.S. Khan,https://example.com/music/ganga-tarana-by-m.s.-khan
North India,Lohri,Semi-Classical,Devi Stuti,Bhimsen Mansur,https://example.com/music/devi-stuti-by-bhimsen-mansur
North India,Holi,Bhajan,Ganga Leela,M.S. Mangeshkar,https://example.com/music/ganga-leela-by-m.s.-mangeshkar
North India,Diwali,Folk,Om Vandana,Kishori Khan,https://example.com/music/om-vandana-by-kishori-khan
East India,Chhath Puja,Folk,Maha Stuti,Ustad Mangeshkar,https://example.com/music/maha-stuti-by-ustad-mangeshkar
East India,Bihu,Folk,Jai Bhajan,Shubha Mansur,https://example.com/music/jai-bhajan-by-shubha-mansur
East India,Chhath Puja,Folk,Swar Sangeet,Kishori Mansur,https://example.com/music/swar-sangeet-by-kishori-mansur
North India,Baisakhi,Folk,Shiv Dhun,Begum Amonkar,https://example.com/music/shiv-dhun-by-begum-amonkar
North India,Diwali,Semi-Classical,Krishna Sangeet,Vidushi Gundecha,https://example.com/music/krishna-sangeet-by-vidushi-gundecha
North India,Diwali,Semi-Classical,Taal Geet,Bhimsen Mansur,https://example.com/music/taal-geet-by-bhimsen-mansur
North India,Baisakhi,Bhajan,Jai Aarti,Mallikarjun Sharma,https://example.com/music/jai-aarti-by-mallikarjun-sharma
South India,Pongal,Devotional,Anand Kirtan,Ravi Gundecha,https://example.com/music/anand-kirtan-by-ravi-gundecha
North India,Lohri,Folk,Guru Dhun,Pt. Sharma,https://example.com/music/guru-dhun-by-pt.-sharma
North India,Lohri,Bhajan,Devi Dhwani,Pt. Mansur,https://example.com/music/devi-dhwani-by-pt.-mansur
North India,Diwali,Semi-Classical,Shri Leela,Hari Mansur,https://example.com/music/shri-leela-by-hari-mansur
North India,Lohri,Classical,Om Dhun,Pt. Subbulakshmi,https://example.com/music/om-dhun-by-pt.-subbulakshmi
South India,Pongal,Devotional,Krishna Bhajan,Bhimsen Shankar,https://example.com/music/krishna-bhajan-by-bhimsen-shankar
South India,Onam,Folk,Bhakti Rasa,Hari Sharma,https://example.com/music/bhakti-rasa-by-hari-sharma
North India,Holi,Bhajan,Jai Dhun,Shubha Dey,https://example.com/music/jai-dhun-by-shubha-dey
East India,Durga Puja,Classical,Om Stuti,Vidushi Gundecha,https://example.com/music/om-stuti-by-vidushi-gundecha
